Годы;до 18;18-24;25-34;35 и более;не указан
1960;226;798207;468734;232012;402
1970;2464;809466;328416;178797;84
1980;5115;902610;369768;187027;59
1990;13536;692941;389739;223628;84
1991;13506;671857;367477;224314;78
1992;10611;561052;288860;193113;81
1993;9837;605349;295350;196116;71
1994;8844;578305;293623;199774;54
1995;8044;555859;303953;207319;44
1996;6167;430853;254362;175246;23
1997;5906;456025;279800;186531;149
1998;4851;406962;264497;172250;131
1999;3773;425864;297276;184148;101
2000;3703;403851;303216;186133;424
2001;3576;432766;354058;210925;264
2002;3316;421283;374513;220447;203
2003;3415;437321;417253;233633;156
2004;2812;376343;381937;218344;231
2005;2466;404383;430837;228522;158
2006;2274;414163;463047;234009;69
2007;1921;447090;538131;275288;70
2008;1914;395318;513547;268129;99
2009;1480;380613;539805;277507;41
2010;1131;372782;564776;276219;158
2011;1097;380457;633360;301045;52
2012;952;327000;594126;291469;51
2013;931;300195;619534;304826;15
2014;835;273994;632025;319131;0
2015;853;247588;606002;306625;0
2016;705;195598;515092;274441;0
2017;556;199294;547631;302254;0
2018;454;170440;456639;265506;0
2019;564;177912;469220;302389;82
2020;598;143938;372864;253457;0
2021;614;174836;435526;312574;0
2022;524;187507;463322;402403;0
2023;497;180902;393834;370762;0